id,name,title,description,type,timeSeries,chartType_code,pageExpression,orderExpression
"001","apiCalls","apiCalls","apiCallsDesc","PRESHIPPED",true,"01",null,null
"014","topApis","topApis","topApisDesc","PRESHIPPED",false,"06","$top=5","sumCallCount desc"
"015","topProducts","topProducts","topProductsDesc","PRESHIPPED",false,"01","$top=5","sumCallCount desc"
"016","topApplication","topApplication","topApplicationDesc","PRESHIPPED",false,"03","$top=5","sumCallCount desc"
"017","topApiProviders","topApiProviders","topApiProvidersDesc","PRESHIPPED",false,"04","$top=5","sumCallCount desc"
"018","topDeveloper","topDeveloper","topDeveloperDesc","PRESHIPPED",false,"04","$top=5","sumCallCount desc"
"002","topApisPerDay","topApisPerDay","topApisDescPerDay","PRESHIPPED",true,"06","",""
"004","topProductsPerDay","topProductsPerDay","topProductsDescPerDay","PRESHIPPED",true,"01","",""
"003","topApplicationPerDay","topApplicationPerDay","topApplicationDescPerDay","PRESHIPPED",true,"03","",""
"005","topApiProvidersPerDay","topApiProvidersPerDay","topApiProvidersDescPerDay","PRESHIPPED",true,"07","",""
"006","topDeveloperPerDay","topDeveloperPerDay","topDeveloperDescPerDay","PRESHIPPED",true,"02","",""
"007","topResponseCodes","topResponseCodes","topResponseCodesDesc","PRESHIPPED",false,"03","$top=5","sumCallCount desc"
"008","apiErrors","apiErrors","apiErrorsDesc","PRESHIPPED",false,"07","$top=5","sumErrors desc"
"009","apiResponseTime","apiResponseTime","apiResponseTimeDesc","PRESHIPPED",true,"07","",""
"010","developerEngagement","developerEngagement","developerEngagementDesc","PRESHIPPED",false,"07","","DeveloperName,ApplicationName"
"011","topBackendErrors","topBackendErrors","topBackendErrorsDesc","PRESHIPPED",false,"04","$top=5","sumTargetError desc"
"012","topProxyErrors","topProxyErrors","topProxyErrorsDesc","PRESHIPPED",true,"07","",""
"013","slowestApis","slowestApis","slowestApisDesc","PRESHIPPED",false,"04","$top=5","avgResponseTime desc"
"100","apiCallsHealth","apiCalls","apiCallsDesc","PRESHIPPED",true,"01","",""
"101","recentErrors","recentErrors","recentErrorsDesc","PRESHIPPED",false,"18","",""
"102","regionWiseResponseTime","regionWiseResponseTime","regionWiseResponseTimeDesc","PRESHIPPED",false,"17","",""
"103","responseCodeCount","responseCodeCount","responseCodeCountDesc","PRESHIPPED",false,"04","",""
"104","errorCallCount","errorCallCount","errorCallCountDesc","PRESHIPPED",false,"17","",""
"105","cacheResponse","cacheResponse","cacheResponseDesc","PRESHIPPED",true,"06","",""
"106","backendErrorCallCount","backendErrorCallCount","backendErrorCallCountDesc","PRESHIPPED",true,"01","",""
"107","backendResponseTime","backendResponseTime","backendResponseTimeDesc","PRESHIPPED",false,"03","","TargetUrl"
"108","proxyErrorCallCount","proxyErrorCallCount","proxyErrorCallCountDesc","PRESHIPPED",false,"03","","ApiProxy"
"109","proxyResponseTime","proxyResponseTime","proxyResponseTimeDesc","PRESHIPPED",false,"03","","ApiProxy"
"110","errorCountPerResponseCode","errorCountPerResponseCode","errorCountPerResponseCodeDesc","PRESHIPPED",false,"01","",""
"111","averageResponseTime","averageResponseTime","averageResponseTimeDesc","PRESHIPPED",true,"06","",""
"200","apiCallsUsage","apiCalls","apiCallsDesc","PRESHIPPED",true,"01","",""
"201","developerEngagementStatus","developerEngagementStatus","developerEngagementStatusDesc","PRESHIPPED",false,"05","","DeveloperName"
"202","newDevelopers","newDevelopers","newDevelopersDesc","PRESHIPPED",false,"18","",""
"203","responseCodeCountInUsage","responseCodeCountInUsage","responseCodeCountInUsageDesc","PRESHIPPED",false,"17","",""
"204","newApplications","newApplications","newApplicationsDesc","PRESHIPPED",false,"18","",""
"205","regionWiseResponseTimeInUsage","regionWiseResponseTimeInUsage","regionWiseResponseTimeInUsageDesc","PRESHIPPED",false,"17","",""
"206","errorCallCountInUsage","errorCallCountInUsage","errorCallCountInUsageDesc","PRESHIPPED",false,"17","",""
"207","topBrowsers","topBrowsers","topBrowsersDesc","PRESHIPPED",false,"03","$top=5","sumCallCount desc"
"208","topAgents","topAgents","topAgentsDesc","PRESHIPPED",false,"03","$top=5","sumCallCount desc"
"209","topOperatingSystems","topOperatingSystems","topOperatingSystemsDesc","PRESHIPPED",false,"03","$top=5","sumCallCount desc"
"210","topDeviceTypes","topDeviceTypes","topDeviceTypesDesc","PRESHIPPED",false,"05","$top=5","sumCallCount desc"
"211","browserCallCount","browserCallCount","browserCallCountDesc","PRESHIPPED",false,"01","","PlatformName"
"212","agentCallCount","agentCallCount","agentCallCountDesc","PRESHIPPED",false,"01","","AgentsName"
"213","operatingSystemCallCount","operatingSystemCallCount","operatingSystemCallCountDesc","PRESHIPPED",false,"03","","OsFamilyName"
"214","deviceTypesCallCount","deviceTypesCallCount","deviceTypesCallCountDesc","PRESHIPPED",false,"05","","DeviceType"
"215","requestVerbCallCount","requestVerbCallCount","requestVerbCallCountDesc","PRESHIPPED",false,"05","","RequestMethod"
"216","recentApiCalls","recentApiCalls","recentApiCallsDesc","PRESHIPPED",false,"18","",""
