chart_ID,dimensionCode_CODE
"014","ApiProxy"
"015","ProductName"
"016","ApplicationName"
"017","TargetHost"
"018","DeveloperName"
"002","ApiProxy"
"004","ProductName"
"003","ApplicationName"
"005","TargetHost"
"006","DeveloperName"
"007","ResponseCode"
"008","ApiProxy"
"009","ApiProxy"
"010","DeveloperName"
"010","ApplicationName"
"011","TargetUrl"
"012","ApiProxy"
"013","ApiProxy"
"103","ResponseCode"
"105","CacheHit"
"106","TargetUrl"
"107","TargetUrl"
"108","ApiProxy"
"109","ApiProxy"
"110","ResponseCode"
"111","CacheHit"
"201","DeveloperName"
"203","ResponseCode"
"207","PlatformName"
"208","AgentsName"
"209","OsFamilyName"
"210","DeviceType"
"211","PlatformName"
"212","AgentsName"
"213","OsFamilyName"
"214","DeviceType"
"215","RequestMethod"
