chart_id,measureCode_CODE,measureCode_AGGREGATION
"001","CallCount","Sum"
"001","Errors","Sum"
"014","CallCount","Sum"
"015","CallCount","Sum"
"016","CallCount","Sum"
"017","CallCount","Sum"
"018","CallCount","Sum"
"002","CallCount","Sum"
"004","CallCount","Sum"
"003","CallCount","Sum"
"005","CallCount","Sum"
"006","CallCount","Sum"
"007","CallCount","Sum"
"008","sumErrors","Sum"
"009","ResponseTime","Avg"
"010","CallCount","Sum"
"011","TargetError","Sum"
"012","PolicyError","Sum"
"013","ResponseTime","Avg"
"100","CallCount","Sum"
"102","ResponseTime","Avg"
"103","CallCount","Sum"
"104","Errors","Sum"
"105","CallCount","Sum"
"106","TargetError","Sum"
"107","TargetResponseTime","Avg"
"108","PolicyError","Sum"
"109","PolicyResponseTime","Avg"
"110","Errors","Sum"
"111","ResponseTime","Avg"
"200","CallCount","Sum"
"200","Errors","Sum"
"201","CallCount","Sum"
"203","CallCount","Sum"
"205","ResponseTime","Avg"
"206","CallCount","Sum"
"207","CallCount","Sum"
"208","CallCount","Sum"
"209","CallCount","Sum"
"210","CallCount","Sum"
"211","CallCount","Sum"
"212","CallCount","Sum"
"213","CallCount","Sum"
"214","CallCount","Sum"
"215","CallCount","Sum"
