code,name,icon,thumbnail
01,line,sap-icon://line-chart,sap-icon://line-chart
02,bar,sap-icon://horizontal-bar-chart,sap-icon://horizontal-bar-chart
03,column,sap-icon://bar-chart,sap-icon://bar-chart
04,pie,sap-icon://pie-chart,sap-icon://pie-chart
05,donut,sap-icon://donut-chart,sap-icon://donut-chart
06,stacked_bar,sap-icon://full-stacked-chart,sap-icon://full-stacked-chart
07,heatmap,sap-icon://heatmap-chart,sap-icon://heatmap-chart
08,Treemap,sap-icon://treemap-chart,sap-icon://treemap-chart
09,bubble,sap-icon://bubble-chart,sap-icon://bubble-chart
10,scatter,sap-icon://scatter-chart,sap-icon://scatter-chart
11,dualcombination,sap-icon://dualCombination-chart,sap-icon://dualCombination-chart
12,dualLine,sap-icon://dualLine-chart,sap-icon://dualLine-chart
13,stackedcolumn,sap-icon://stackedcolumn-chart,sap-icon://stackedcolumn-chart
14,dualcolumn,sap-icon://dualcolumn-chart,sap-icon://dualcolumn-chart
15,area,sap-icon://area-chart,sap-icon://area-chart
16,combination,sap-icon://combination-chart,sap-icon://combination-chart
17,geomap,sap-icon://choropleth-chart,sap-icon://choropleth-chart
18,table,sap-icon://table-view,sap-icon://table-view
