CODE,AGGREGATION
Errors,Sum
Errors,Avg
TargetError,Sum
TargetError,Avg
TargetResponseTime,Sum
TargetResponseTime,Avg
PolicyResponseTime,Sum
PolicyResponseTime,Avg
TargetResponseTime,Max
TargetResponseTime,Min
RequestSize,Sum
RequestSize,Avg
RequestSize,Max
RequestSize,Min
ResponseTime,Sum
ResponseTime,Avg
ResponseTime,Max
ResponseTime,Min
CallCount,Sum
PolicyError,Sum
PolicyError,Avg
RequestProcessingLatency,Sum
RequestProcessingLatency,Avg
RequestProcessingLatency,Max
RequestProcessingLatency,Min
ResponseProcessingLatency,Sum
ResponseProcessingLatency,Avg
ResponseProcessingLatency,Max
ResponseProcessingLatency,Min
